trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9859211602132415}",20,0,-33.41140845984168,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.9852444312681263}",25,0,-113.62853463763659,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.9845519384331295}",20,0,-157.64896238044324,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
45,False,"{'a': 0.5, 'e': 0.9838436927881214}",30,0,-211.88035755264409,"{0: 17, 1: 5, 2: 4, 3: 0, 4: 4}",0
46,False,"{'a': 0.5, 'e': 0.9831197056650174}",25,0,-153.2549263739054,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.9823799886475959}",20,0,-126.97097615126312,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.9816245535713135}",25,0,-112.31925135707993,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.9808534125231153}",20,0,-56.087713397110235,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.9800665778412416}",35,0,-193.19705268765395,"{0: 23, 1: 4, 2: 4, 3: 0, 4: 4}",0
51,False,"{'a': 0.5, 'e': 0.9792640621150305}",25,0,-194.98190418472896,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
52,False,"{'a': 0.5, 'e': 0.9784458781847165}",25,0,-235.59842548839072,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 4}",0
53,False,"{'a': 0.5, 'e': 0.9776120391412251}",30,0,-186.5317177646097,"{0: 14, 1: 6, 2: 7, 3: 1, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.9767625583259631}",25,11,-32.28084893740629,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.9758974493306055}",30,0,-114.69226565245035,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.9750167259968777}",20,0,-85.51183794808489,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.9741204024163344}",20,0,-108.11611984377811,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.9732084929301336}",20,0,-41.8958511067146,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.9722810121288076}",20,0,-79.63694098993537,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9713379748520296}",25,0,-101.81423174409396,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.9703793961883759}",25,0,-45.15652585034108,"{0: 16, 1: 7, 2: 1, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.9694052914750845}",20,0,-181.7520176707054,"{0: 8, 1: 5, 2: 3, 3: 1, 4: 3}",0
63,False,"{'a': 0.5, 'e': 0.9684156762978101}",25,14,-11.747236140279655,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.9674105664903746}",20,0,-177.21944419751077,"{0: 10, 1: 0, 2: 5, 3: 3, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.9663899781345132}",20,0,-208.18679912400015,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 4}",0
66,False,"{'a': 0.5, 'e': 0.965353927559618}",25,0,-54.50469344647347,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.9643024313424761}",20,11,-80.42055432403514,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 2}",1
68,False,"{'a': 0.5, 'e': 0.9632355063070045}",25,0,-86.00368231721946,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.9621531695239809}",25,0,-43.21983708493922,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.9610554383107709}",25,0,-75.3220896842534,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.9599423302310505}",20,0,-120.24714724039687,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.9588138630945251}",25,0,-188.79911756583508,"{0: 10, 1: 4, 2: 8, 3: 1, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.9576700549566448}",20,0,-81.90514587578527,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.9565109241183156}",25,0,-100.26906669664999,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.955336489125606}",20,0,-117.84811423751064,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.9541467687694509}",20,0,-69.3552169096638,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.9529417820853506}",30,0,-66.51876516202141,"{0: 21, 1: 6, 2: 2, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.9517215483530664}",20,0,-33.29816053553111,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.9504860870963119}",20,0,-56.187970699326975,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.9492354180824408}",25,0,-137.28143050520853,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.9479695613221308}",20,0,-156.41070121242467,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
82,False,"{'a': 0.5, 'e': 0.9466885370690631}",20,0,-53.30909831104622,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.9453923658195982}",25,0,-185.48522799196957,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
84,False,"{'a': 0.5, 'e': 0.9440810683124485}",25,0,-127.55137747210411,"{0: 11, 1: 3, 2: 10, 3: 1, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.9427546655283462}",20,0,-66.88494813771113,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.9414131786897075}",20,0,-106.24896595275527,"{0: 8, 1: 3, 2: 8, 3: 1, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.9400566292602934}",20,0,-124.848194192967,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.9386850389448655}",20,0,-163.34365159583493,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
89,False,"{'a': 0.5, 'e': 0.9372984296888399}",25,19,11.27260791849963,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.9358968236779348}",30,18,-91.13023006535421,"{0: 6, 1: 2, 2: 1, 3: 2, 4: 1}",1
91,False,"{'a': 0.5, 'e': 0.9344802433378168}",20,0,-65.53407608971125,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.9330487113337409}",25,0,-107.15348239981816,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.9316022505701886}",30,15,-61.206435285457566,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.9301408841905014}",20,0,-51.877451575299176,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.9286646355765102}",25,0,-200.88237397724723,"{0: 11, 1: 6, 2: 4, 3: 1, 4: 3}",0
96,False,"{'a': 0.5, 'e': 0.9271735283481612}",25,13,-78.00651473361238,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
97,False,"{'a': 0.5, 'e': 0.9256675863631385}",20,0,-76.08206568642407,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.9241468337164814}",20,0,-135.50966749717097,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
99,False,"{'a': 0.5, 'e': 0.9226112947402}",25,0,-192.18646350810283,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
